,MD (m),Porosidade (frac),Permeab. Long. (mD),Cluster,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
0,5073.0,3.0,0.013,2,0.008446697974292188,1.6288875810834616e-05,99.81297576758516,0.17856123723955528,8.325173420138876e-09,0.0
1,5337.0,3.3000000000000003,0.005,2,0.01110310715630987,2.5120910675363678e-05,99.72809695651861,0.26077480496098904,1.0453391641927421e-08,0.0
2,5335.0,9.4,0.115,2,0.6037676062011488,0.023580957161741693,90.81284765669832,8.559803779938772,6.438981406736465e-18,0.0
3,5082.0,5.4,0.694,2,0.10133081113315102,0.0006518884824832072,95.04835382770885,4.849663469629643,3.0458725804415166e-09,0.0
4,5479.8,2.0,0.08,2,0.003276093171462019,3.6566441557215705e-06,99.951133360793,0.04558688771963454,1.671729441190098e-09,0.0
5,5523.8,0.8,0.0,2,0.0010688019524891556,6.056920374736232e-07,99.99214335160048,0.00678724070668001,4.830920934581116e-11,0.0
6,5079.0,4.8,0.003,2,0.03875511888971504,0.00018949063060119193,98.66154993608593,1.2995054489865872,5.4071814252287175e-09,0.0
7,5124.0,1.5,0.002,2,0.0021264785693577443,1.7982229763244063e-06,99.97656388536085,0.02130783735445565,4.923639070048656e-10,0.0
8,5145.0,4.9,6.63,3,0.8218317081620822,0.00353368534863659,5.376151154111293e-69,99.17463450802079,9.846848283763789e-08,0.0
9,5084.0,6.7,0.161,2,0.11795765452185521,0.0014274943132157644,95.68407439897685,4.1965404521615435,2.6560879993948247e-11,0.0
10,5133.0,9.6,104.0,1,47.49951841188748,52.50048158750702,0.0,2.969175229302665e-193,6.054866182797171e-10,0.0
11,5269.9,11.799999999999999,0.025,2,2.593486092909749,0.2542558506123726,90.36856136843707,6.783696688040795,4.175296501042151e-27,0.0
12,5684.0,1.7000000000000002,0.003,2,0.0025753136874615123,2.4371817557896377e-06,99.96839138699424,0.029030861286319272,8.502525772531533e-10,0.0
13,5727.4,4.1000000000000005,0.006,2,0.021893195712154437,7.51279523608624e-05,99.3304270286963,0.6476046370918949,1.0547277204677533e-08,0.0
14,5080.0,7.000000000000001,292.0,1,1.8693270830144514e-15,98.94618298449012,0.0,0.0,1.0538170155098514,0.0
15,5132.0,7.199999999999999,5.2,3,1.3333120897966404,0.01757658433135725,2.5237182692488775e-39,98.64911132583758,3.4430876037849755e-11,0.0
16,5156.0,9.4,86.1,0,81.40775136095965,18.59224863892461,0.0,3.073427747392943e-129,1.1574004621355245e-10,0.0
17,5260.8,13.600000000000001,0.223,2,2.6457995684181763,0.47535743057050456,95.67895476740766,1.1998882336036705,1.7349825712742137e-36,0.0
18,5097.0,14.000000000000002,388.0,1,2.622515445476111e-32,99.99999942122591,0.0,0.0,5.78774128176808e-07,0.0
19,5074.0,18.0,28.3,0,72.33240431742128,27.66759568257871,0.0,1.9877541853626835e-17,4.205348377750669e-62,0.0
20,5141.0,3.3000000000000003,10.5,3,1.8464773262024368,0.0032417803960204696,1.9700536412456883e-183,98.150279439965,1.4534365485584187e-06,0.0
21,5119.0,3.6999999999999997,0.0,2,0.015786041550828665,4.40641277349237e-05,99.56455587878482,0.4196140037919344,1.1744687122320995e-08,0.0
22,5144.0,3.9,0.024,2,0.01806375607613014,5.589263988896475e-05,99.46830028359958,0.5135800566001808,1.1084214864428617e-08,0.0
23,5086.0,5.7,0.256,2,0.05843449134725082,0.00044045245420299886,97.6097489069826,2.3313761485352527,6.807228709098664e-10,0.0
24,5093.0,5.7,14.5,3,30.273977034388665,0.1664719328777441,0.0,69.5595504877457,5.44987905026281e-07,0.0
